route_id,bus_id,stop_sequence,day_of_week,hour_of_day,is_weekend,is_rush_hour,current_speed_kmph,distance_to_next_stop_m,historical_avg_delay_min,weather,dwell_time_sec,actual_eta_min
R03,BUS001,4,6,5,1,0,29.1,1245.8,0.5,1,44.5,4.58
R02,BUS015,6,6,6,1,0,22.9,1038.7,0.55,1,41.3,3.25
R05,BUS010,7,1,7,0,0,18.3,1045.5,1.66,0,17.3,4.39
R06,BUS016,12,2,19,0,1,14.7,1439.4,4.32,0,99.7,6.48
R05,BUS022,10,1,21,0,0,19.6,323.2,2.37,0,58.4,2.01
R04,BUS012,5,6,8,1,0,26.1,2978.7,0.47,0,33.4,6.74
R03,BUS023,10,4,13,0,0,14.3,2472.0,1.23,0,39.1,12.21
R05,BUS022,7,2,16,0,0,18.6,2067.9,1.29,0,45.5,7.55
R04,BUS001,5,6,14,1,0,26.4,3332.2,1.92,0,35.0,8.79
R05,BUS013,4,6,6,1,0,31.2,287.5,1.6,0,58.8,0.45
R01,BUS019,11,4,16,0,0,23.4,1474.1,1.0,0,48.3,3.9
R02,BUS002,3,0,11,0,0,26.8,589.9,2.66,1,47.2,3.51
R01,BUS004,10,4,13,0,0,30.1,2076.1,1.92,0,42.4,3.99
R06,BUS005,12,0,17,0,1,11.5,2641.7,3.93,0,28.2,15.31
R05,BUS019,1,3,16,0,0,19.9,3363.2,2.29,2,32.0,14.27
R02,BUS015,5,4,7,0,0,14.8,2188.1,1.72,1,29.9,10.46
R05,BUS010,10,6,18,1,0,32.9,2013.4,1.38,0,44.2,5.04
R05,BUS006,7,5,17,1,0,32.4,934.5,1.31,0,11.3,2.3
R05,BUS001,6,3,21,0,0,18.4,3325.9,1.33,1,5.0,13.07
R02,BUS019,7,5,7,1,0,35.2,1037.2,0.0,0,44.7,2.09
R01,BUS003,12,5,21,1,0,15.2,473.5,2.41,1,35.7,3.82
R05,BUS016,6,4,15,0,0,26.2,3233.1,0.65,0,27.9,7.33
R01,BUS021,6,5,7,1,0,38.9,3173.8,0.85,0,32.6,4.42
R02,BUS018,12,3,9,0,1,6.3,3415.5,5.29,1,51.5,35.69
R06,BUS003,6,1,9,0,1,16.8,2224.3,4.89,1,82.7,10.37
R01,BUS011,5,1,21,0,0,9.7,2966.5,0.78,0,35.1,18.69
R05,BUS021,5,1,14,0,0,18.3,1446.9,0.98,0,21.9,4.73
R01,BUS017,8,1,12,0,0,4.6,273.2,1.29,1,49.1,4.49
R04,BUS005,11,0,21,0,0,29.4,642.3,2.2,0,50.9,1.14
R06,BUS015,11,2,6,0,0,29.5,1349.2,1.56,0,49.7,3.57
R05,BUS004,10,0,14,0,0,14.4,2737.4,2.46,0,7.7,12.94
R01,BUS023,7,6,15,1,0,22.5,658.1,1.89,0,34.1,3.08
R05,BUS018,10,2,9,0,1,13.1,1338.8,4.94,0,32.8,8.42
R06,BUS002,1,5,17,1,0,27.8,1261.2,0.78,0,16.6,3.06
R05,BUS017,10,3,5,0,0,22.9,478.9,1.53,0,34.5,1.9
R04,BUS023,8,1,17,0,1,17.5,405.7,5.38,0,47.5,2.55
R01,BUS023,5,3,14,0,0,14.2,2061.1,1.67,0,5.0,9.14
R01,BUS013,2,6,8,1,0,35.6,1972.5,1.93,0,29.2,3.7
R06,BUS020,10,1,17,0,1,11.5,1290.1,3.99,0,77.0,8.41
R06,BUS022,1,5,10,1,0,28.5,2406.5,2.1,0,49.0,5.45
R06,BUS022,4,2,5,0,0,31.2,2629.6,1.71,1,35.2,5.97
R04,BUS013,11,2,5,0,0,32.3,1418.5,0.0,0,44.4,2.03
R04,BUS001,5,0,21,0,0,33.9,585.1,1.02,1,26.6,3.1
R05,BUS024,11,0,6,0,0,22.4,798.1,1.38,0,33.2,2.76
R01,BUS005,12,5,7,1,0,30.7,742.1,2.33,0,48.1,2.19
R01,BUS018,8,6,12,1,0,18.6,1443.9,1.22,0,11.3,5.16
R01,BUS015,7,1,18,0,1,15.0,419.8,3.78,0,83.2,2.66
R02,BUS020,1,3,11,0,0,26.9,2091.4,2.08,0,44.9,4.95
R05,BUS010,1,5,10,1,0,24.1,1970.4,0.0,0,82.6,5.01
R05,BUS015,4,3,17,0,1,19.5,2576.1,5.81,0,53.4,9.5
R03,BUS010,8,5,10,1,0,31.3,1522.8,1.46,0,37.7,5.09
R01,BUS001,8,3,15,0,0,30.9,3276.0,1.97,1,23.1,8.18
R04,BUS009,6,2,18,0,1,13.6,3283.4,5.62,0,65.8,17.39
R05,BUS015,9,4,13,0,0,24.4,878.4,2.56,0,50.8,3.04
R06,BUS002,7,1,6,0,0,19.8,3230.9,1.57,1,42.1,10.25
R04,BUS006,5,0,21,0,0,17.5,2775.6,0.92,0,41.7,9.89
R01,BUS017,4,5,12,1,0,24.6,1857.2,1.62,0,38.0,5.09
R06,BUS017,8,2,22,0,0,23.2,1170.3,2.95,0,26.5,2.07
R03,BUS004,1,4,11,0,0,24.6,2685.7,1.26,0,53.3,5.75
R03,BUS024,7,2,12,0,0,19.4,543.6,1.89,0,29.7,2.3
R06,BUS024,11,3,9,0,1,7.2,665.6,4.28,0,85.4,7.72
R05,BUS019,3,3,22,0,0,19.4,3145.8,2.34,0,54.7,9.61
R04,BUS020,5,4,10,0,1,17.8,2753.7,4.71,0,67.5,10.58
R03,BUS014,7,0,22,0,0,23.5,274.1,0.13,0,25.7,0.5
R03,BUS014,4,1,17,0,1,17.8,2481.0,5.43,0,64.9,11.35
R02,BUS017,5,0,10,0,1,15.0,2938.1,5.79,0,49.9,14.37
R05,BUS017,10,4,18,0,1,16.1,355.0,4.42,0,43.5,3.44
R05,BUS011,8,2,8,0,1,16.3,2572.9,3.6,0,72.4,11.02
R05,BUS024,1,1,8,0,1,15.1,1981.5,4.78,1,57.8,11.91
R01,BUS009,8,0,5,0,0,18.9,1835.1,2.95,0,42.5,7.33
R04,BUS019,6,1,16,0,0,15.4,1391.2,1.32,0,40.7,6.31
R05,BUS017,7,4,20,0,1,13.7,3002.3,3.67,0,77.3,14.7
R06,BUS015,5,6,13,1,0,27.0,835.6,0.73,1,55.3,1.27
R01,BUS014,8,2,16,0,0,23.1,597.9,1.12,0,31.1,2.08
R01,BUS004,6,0,17,0,1,15.1,2265.4,5.71,0,75.7,11.31
R03,BUS007,4,4,21,0,0,33.5,1526.4,1.21,1,9.8,2.91
R05,BUS001,1,2,17,0,1,10.0,1370.3,4.16,0,64.5,10.03
R01,BUS024,4,3,9,0,1,13.3,2794.9,4.34,1,64.3,15.5
R05,BUS002,9,6,8,1,0,28.8,964.5,1.89,0,11.5,2.81
R02,BUS009,1,1,7,0,0,24.6,2926.5,2.46,0,72.5,8.4
R01,BUS010,3,1,22,0,0,23.7,2496.9,1.2,0,38.0,5.89
R01,BUS004,5,1,15,0,0,18.9,3095.6,1.19,1,43.2,11.7
R05,BUS011,11,1,19,0,1,13.1,216.8,5.08,0,78.6,3.05
R03,BUS024,8,1,12,0,0,24.9,2066.9,1.21,1,49.0,6.47
R03,BUS016,9,4,15,0,0,17.4,987.7,1.98,1,34.4,5.28
R02,BUS010,11,4,11,0,0,24.1,730.5,1.82,0,37.9,2.57
R01,BUS008,2,3,17,0,1,15.1,2773.5,4.68,0,63.6,13.06
R04,BUS015,5,4,8,0,1,16.0,773.4,4.52,0,54.6,4.68
R03,BUS018,2,5,19,1,0,25.2,3397.3,1.8,1,33.0,8.34
R03,BUS011,10,6,6,1,0,21.9,1103.0,1.36,1,19.7,4.74
R02,BUS015,4,5,15,1,0,31.3,1101.8,1.42,0,16.6,3.68
R01,BUS005,3,2,5,0,0,26.7,1258.5,2.19,0,41.0,4.12
R02,BUS015,12,2,12,0,0,21.2,725.5,0.55,0,42.7,2.12
R02,BUS003,4,5,19,1,0,24.6,1789.0,2.94,0,23.9,5.53
R06,BUS021,5,1,12,0,0,20.6,1224.2,1.48,0,28.2,2.7
R06,BUS011,9,0,10,0,1,17.8,3195.8,5.68,0,67.4,12.5
R06,BUS022,12,3,5,0,0,17.6,2046.8,1.53,0,20.0,7.42
R02,BUS014,10,1,19,0,1,19.6,860.5,5.74,0,92.2,5.14
R02,BUS020,11,6,11,1,0,38.8,2380.7,2.44,1,26.3,5.39
R04,BUS010,11,1,16,0,0,16.8,1015.4,1.08,1,34.6,6.09
R02,BUS006,2,2,9,0,1,14.2,3487.9,5.1,0,57.5,16.9
R01,BUS007,12,0,9,0,1,7.8,1341.6,6.6,0,81.2,12.94
R02,BUS004,6,6,14,1,0,23.6,3474.0,0.41,0,53.7,8.92
R01,BUS003,10,3,20,0,1,8.5,2186.1,6.16,0,54.4,17.81
R01,BUS022,12,4,19,0,1,21.2,2156.6,5.71,0,45.1,9.03
R04,BUS002,3,4,9,0,1,12.1,1273.1,5.28,2,41.7,10.26
R03,BUS022,10,4,14,0,0,21.2,2409.0,0.58,0,15.6,6.14
R03,BUS005,5,3,9,0,1,12.1,2779.9,6.43,1,88.8,18.49
R04,BUS018,2,0,9,0,1,16.9,3290.8,4.94,0,56.2,13.66
R02,BUS020,5,1,15,0,0,14.3,257.4,1.9,0,41.4,0.59
R06,BUS013,4,1,14,0,0,20.0,2618.6,1.16,0,28.1,7.96
R06,BUS015,2,0,15,0,0,34.0,2454.7,1.45,1,28.3,5.7
R01,BUS014,4,0,5,0,0,16.6,911.7,2.8,0,39.5,3.96
R02,BUS006,9,0,13,0,0,20.3,3478.0,1.66,0,39.5,10.47
R06,BUS014,4,5,10,1,0,26.2,3174.5,2.1,1,13.0,8.32
R01,BUS021,1,3,11,0,0,26.4,2059.3,0.0,0,5.0,5.74
R06,BUS011,3,5,18,1,0,16.8,2244.3,0.95,1,5.0,10.52
R05,BUS012,5,1,20,0,1,23.3,2114.6,5.58,1,73.9,8.94
R03,BUS011,5,6,15,1,0,31.8,225.0,1.72,0,32.2,1.44
R02,BUS014,4,4,18,0,1,14.7,1214.1,6.11,0,87.7,7.86
R01,BUS013,4,1,15,0,0,23.6,606.6,1.82,0,49.2,1.87
R05,BUS010,8,3,8,0,1,12.2,487.2,5.92,0,68.7,6.11
R04,BUS009,10,0,19,0,1,18.6,2216.2,4.76,1,46.3,9.39
R05,BUS004,2,2,8,0,1,11.3,1598.3,5.22,0,98.3,9.83
R01,BUS003,12,1,5,0,0,28.1,915.2,2.8,0,26.6,2.25
R05,BUS002,3,6,22,1,0,36.4,1534.3,1.06,0,39.5,2.63
R02,BUS007,4,4,5,0,0,13.6,2166.0,0.5,0,19.7,11.0
R04,BUS002,12,4,16,0,0,27.2,971.2,1.59,0,5.1,3.0
R03,BUS022,6,1,16,0,0,30.4,2384.1,1.84,0,36.4,5.03
R04,BUS005,9,6,20,1,0,34.2,1551.3,1.26,0,5.0,2.93
R04,BUS019,8,5,9,1,0,24.2,2632.7,2.13,0,31.5,7.14
R01,BUS021,12,5,6,1,0,26.5,408.3,1.17,0,12.0,0.68
R01,BUS009,1,2,7,0,0,32.8,1510.0,0.59,0,34.9,3.5
R06,BUS005,4,1,16,0,0,22.4,3271.0,1.42,0,43.5,9.69
R04,BUS014,9,6,7,1,0,22.8,772.6,2.55,2,51.3,5.34
R01,BUS022,1,3,18,0,1,15.1,659.4,4.91,1,53.0,5.55
R05,BUS002,4,0,19,0,1,16.0,3378.3,5.04,0,66.0,13.5
R02,BUS006,11,5,6,1,0,26.9,2345.7,2.69,0,26.5,6.06
R01,BUS014,3,6,20,1,0,35.6,2482.3,2.58,0,24.0,4.79
R05,BUS020,4,3,10,0,1,8.5,1606.1,4.82,0,83.1,13.08
R05,BUS022,5,5,6,1,0,34.8,641.6,1.19,0,20.1,1.93
R05,BUS001,5,1,22,0,0,21.4,2276.7,1.15,0,34.8,8.17
R05,BUS004,2,3,20,0,1,4.8,2633.3,4.64,0,87.1,34.65
R05,BUS017,9,0,13,0,0,23.6,3311.3,1.37,0,43.8,9.27
R02,BUS008,11,5,12,1,0,27.4,949.0,2.28,1,25.9,3.69
R01,BUS023,11,0,17,0,1,4.3,2847.0,5.15,0,48.9,40.72
R05,BUS022,8,1,10,0,1,17.8,472.6,5.03,1,52.1,3.83
R01,BUS009,9,1,22,0,0,21.6,1263.3,0.65,0,47.5,3.75
R04,BUS002,11,1,19,0,1,10.7,565.7,5.16,0,32.5,5.82
R02,BUS022,4,5,16,1,0,29.5,851.7,2.15,0,39.6,2.75
R01,BUS012,9,6,22,1,0,29.9,2299.0,2.78,0,32.8,5.51
R06,BUS011,9,5,17,1,0,30.0,743.9,0.98,1,35.5,1.73
R04,BUS013,6,2,9,0,1,6.4,2148.1,5.06,0,76.3,22.39
R01,BUS005,8,1,20,0,1,16.2,2878.8,5.27,0,68.7,12.65
R02,BUS011,9,1,18,0,1,11.9,2232.8,4.11,1,63.0,13.66
R02,BUS022,12,0,18,0,1,13.5,868.2,5.34,0,58.2,5.5
R03,BUS005,10,3,19,0,1,16.4,1680.4,5.27,0,43.7,7.2
R05,BUS010,6,5,8,1,0,20.8,798.4,0.17,1,61.9,3.17
R05,BUS016,10,6,8,1,0,40.6,374.3,1.23,0,20.1,1.28
R05,BUS012,10,5,8,1,0,22.3,1907.0,1.35,0,22.4,5.59
R04,BUS017,11,3,19,0,1,14.8,3494.5,5.46,0,83.3,16.7
R03,BUS015,6,6,18,1,0,29.5,2665.8,0.4,2,42.7,7.07
R06,BUS022,6,0,17,0,1,11.7,2782.5,3.96,0,24.3,15.37
R05,BUS004,6,1,8,0,1,12.9,364.5,4.2,1,60.2,4.11
R04,BUS010,6,3,11,0,0,20.9,1015.0,1.79,0,30.4,4.57
R05,BUS006,12,0,17,0,1,14.5,3015.2,4.61,0,45.3,13.66
R03,BUS007,6,6,19,1,0,29.2,272.0,1.57,0,11.6,0.87
R01,BUS005,10,4,22,0,0,17.8,678.4,1.99,0,39.6,3.0
R04,BUS009,1,1,8,0,1,15.1,1579.4,4.53,0,80.2,6.72
R06,BUS017,1,1,10,0,1,13.1,946.3,5.92,0,48.1,7.09
R02,BUS002,3,4,11,0,0,22.1,1999.9,0.92,1,25.3,6.51
R01,BUS007,5,3,8,0,1,8.2,2697.3,5.08,1,60.6,21.58
R02,BUS017,2,0,7,0,0,21.1,3200.4,4.05,0,50.6,11.02
R02,BUS011,3,4,15,0,0,12.8,872.4,1.66,1,63.1,6.15
R01,BUS015,8,1,14,0,0,15.9,1677.1,1.67,0,46.8,6.83
R03,BUS008,6,0,5,0,0,28.8,310.2,0.86,1,50.1,1.36
R06,BUS022,3,0,16,0,0,16.7,2641.1,1.47,0,40.8,9.61
R03,BUS001,4,0,6,0,0,23.5,892.2,1.44,0,42.3,2.71
R06,BUS019,12,3,15,0,0,15.4,3174.3,2.37,0,37.0,13.38
R06,BUS016,5,3,5,0,0,20.0,991.6,0.76,0,46.5,4.03
R06,BUS017,5,3,15,0,0,19.6,2984.3,1.74,0,42.0,9.23
R01,BUS008,7,6,7,1,0,18.3,2490.7,1.6,0,42.7,8.91
R04,BUS017,7,0,7,0,0,23.4,395.0,2.1,1,11.6,1.75
R06,BUS004,5,5,7,1,0,27.5,1562.1,2.63,0,28.9,4.42
R06,BUS023,6,0,18,0,1,17.0,3205.5,5.49,0,78.3,13.19
R04,BUS019,4,5,10,1,0,27.4,596.8,1.33,0,9.5,2.16
R06,BUS011,5,2,13,0,0,26.8,1189.7,2.87,1,46.0,4.17
R06,BUS012,3,2,18,0,1,11.1,3023.8,5.03,1,51.1,19.25
R05,BUS009,9,3,7,0,0,22.9,2936.6,2.3,0,7.8,8.2
R04,BUS014,9,2,12,0,0,29.2,3328.8,1.28,0,22.8,7.59
R04,BUS022,12,4,7,0,0,22.6,2352.3,1.94,0,69.4,7.09
R06,BUS022,9,1,21,0,0,26.0,331.2,1.66,0,5.0,0.51
R05,BUS017,3,5,7,1,0,40.4,1676.6,0.94,0,39.5,3.04
R01,BUS007,5,4,21,0,0,19.5,921.1,1.41,0,26.3,3.91
R01,BUS024,5,2,11,0,0,21.7,2096.8,1.03,1,29.5,6.29
R03,BUS012,8,4,17,0,1,17.7,2206.1,4.57,2,57.8,11.39
R05,BUS015,7,0,19,0,1,17.3,3076.3,4.04,1,54.9,13.2
R04,BUS008,4,0,5,0,0,27.7,1534.0,0.85,0,55.0,4.46
R03,BUS011,10,5,22,1,0,30.3,658.3,0.64,0,54.2,1.63
R06,BUS008,2,0,13,0,0,21.4,1592.7,0.0,0,5.6,4.91
R01,BUS006,12,4,15,0,0,16.0,1618.8,2.24,0,31.0,7.83
R02,BUS003,3,3,16,0,0,12.9,3224.9,0.95,0,54.6,14.38
R04,BUS001,8,6,6,1,0,22.5,750.6,1.33,1,20.5,3.03
R05,BUS010,12,1,7,0,0,21.2,1324.0,0.93,0,49.5,5.09
R02,BUS016,4,3,10,0,1,10.8,1698.2,5.34,0,65.1,11.29
R03,BUS013,4,1,18,0,1,9.6,302.2,4.71,0,61.1,4.73
R06,BUS010,5,1,9,0,1,16.8,3354.5,4.73,0,41.9,12.98
R06,BUS004,5,4,13,0,0,29.9,2027.2,1.7,1,8.0,5.17
R05,BUS019,10,0,18,0,1,16.5,2435.4,4.59,0,69.4,9.98
R05,BUS003,2,2,8,0,1,18.4,1525.9,6.57,0,58.3,6.84
R04,BUS005,1,4,8,0,1,15.0,3192.9,4.18,0,56.1,13.18
R06,BUS021,6,2,11,0,0,18.7,611.9,2.2,1,40.7,3.58
R04,BUS020,6,6,8,1,0,31.2,1143.1,0.92,0,5.0,4.45
R02,BUS017,3,4,18,0,1,22.4,1704.7,4.07,0,63.4,7.03
R01,BUS008,4,4,21,0,0,16.9,2312.7,0.86,0,48.3,9.03
R06,BUS022,11,2,14,0,0,17.1,643.6,0.4,1,21.6,2.76
R01,BUS015,3,2,22,0,0,19.3,2433.5,2.19,0,45.9,8.75
R01,BUS015,5,4,12,0,0,24.3,3292.4,1.89,1,25.7,9.82
R01,BUS002,4,5,10,1,0,38.5,1210.3,2.13,0,24.3,2.94
R02,BUS010,12,5,6,1,0,20.0,440.6,0.89,0,48.1,1.3
R06,BUS024,7,2,11,0,0,25.2,1772.2,0.51,2,10.2,7.15
R01,BUS022,1,6,14,1,0,24.8,2133.4,1.65,0,47.1,5.24
R04,BUS021,8,6,8,1,0,24.3,671.5,2.21,0,24.6,2.3
R02,BUS011,9,3,21,0,0,22.0,1248.0,1.49,0,49.3,3.38
R02,BUS008,9,5,9,1,0,27.2,3303.5,1.62,0,38.1,8.57
R02,BUS015,3,4,21,0,0,22.9,1445.1,1.87,0,36.2,4.2
R04,BUS024,7,1,19,0,1,17.9,750.9,5.99,2,49.2,7.55
R05,BUS020,3,2,16,0,0,22.0,3498.2,0.72,0,33.9,10.5
R02,BUS014,3,3,13,0,0,19.7,372.8,2.66,1,29.1,3.24
R01,BUS006,11,5,5,1,0,31.4,2827.6,1.37,0,37.1,5.75
R06,BUS022,1,3,15,0,0,13.3,1413.7,1.6,1,31.6,7.17
R01,BUS003,6,0,16,0,0,21.9,2163.9,1.29,2,65.3,8.57
R04,BUS023,12,6,21,1,0,26.8,1920.3,1.65,0,36.5,5.89
R04,BUS012,11,4,8,0,1,15.4,2009.7,5.61,0,70.6,10.77
R05,BUS022,11,3,12,0,0,18.3,416.8,0.86,0,32.4,2.71
R02,BUS004,10,0,9,0,1,19.2,1951.4,6.08,0,54.9,8.91
R02,BUS012,7,1,14,0,0,26.5,1240.0,1.55,0,51.8,3.74
R04,BUS006,8,5,19,1,0,33.6,400.1,2.39,1,11.4,2.41
R06,BUS001,2,5,6,1,0,38.1,998.2,1.51,0,47.6,1.81
R02,BUS014,10,5,17,1,0,33.4,1713.4,1.65,0,39.5,4.15
R01,BUS016,11,4,22,0,0,22.2,3017.5,1.77,0,65.4,8.05
R06,BUS022,2,1,10,0,1,15.7,827.4,5.02,1,63.7,5.17
R04,BUS015,1,2,11,0,0,23.5,2778.5,2.34,1,26.8,9.54
R04,BUS010,11,4,14,0,0,24.3,1261.5,2.07,0,28.4,3.9
R03,BUS012,10,3,13,0,0,39.5,707.6,0.33,0,24.0,1.35
R06,BUS003,3,0,11,0,0,28.0,2104.5,1.03,0,5.4,5.46
R04,BUS001,2,0,17,0,1,10.8,3415.4,5.6,2,71.6,22.7
R01,BUS004,5,2,7,0,0,21.1,1276.9,1.64,0,56.3,3.97
R02,BUS020,2,3,17,0,1,11.8,2150.7,4.18,1,25.9,13.48
R03,BUS008,4,1,14,0,0,7.4,2921.8,2.5,0,40.5,24.58
R06,BUS021,9,0,10,0,1,9.7,380.3,4.13,0,83.3,4.5
R05,BUS013,7,1,22,0,0,19.1,3156.9,2.09,0,29.6,10.26
R06,BUS004,7,5,12,1,0,28.4,2381.3,0.85,0,42.2,5.03
R01,BUS017,11,1,21,0,0,27.3,2185.1,0.7,1,35.5,5.26
R01,BUS019,4,0,13,0,0,20.2,1681.1,1.2,0,30.9,5.61
R02,BUS007,9,0,6,0,0,19.2,2863.3,0.62,0,50.9,9.76
R05,BUS023,1,0,7,0,0,9.8,1792.3,1.62,1,38.8,12.18
R01,BUS014,2,4,8,0,1,21.5,2044.6,5.01,0,30.0,8.52
R05,BUS016,6,4,20,0,1,5.4,2840.0,5.88,0,48.2,33.3
R06,BUS019,9,4,12,0,0,27.6,1026.5,3.05,1,29.5,4.29
R01,BUS012,5,2,9,0,1,7.9,1364.8,5.89,0,54.7,12.63
R03,BUS001,2,0,9,0,1,12.0,438.0,4.0,2,75.5,6.3
R06,BUS023,3,5,22,1,0,30.0,3306.2,1.47,0,40.8,7.22
R01,BUS005,2,1,13,0,0,18.0,874.7,1.53,0,60.6,3.6
R02,BUS024,10,5,15,1,0,27.4,2164.7,0.92,0,21.7,5.05
R02,BUS021,2,5,7,1,0,19.7,1431.8,3.21,0,46.7,7.16
R03,BUS002,4,0,14,0,0,14.8,2220.5,2.64,0,14.3,10.98
R01,BUS009,4,2,5,0,0,25.8,927.6,2.67,0,44.7,2.55
R02,BUS018,11,5,22,1,0,29.6,505.7,1.65,0,28.4,0.72
R01,BUS019,8,3,21,0,0,28.1,2004.7,2.33,0,50.9,5.52
R04,BUS015,1,0,18,0,1,20.8,1093.7,4.76,0,56.3,5.2
R02,BUS018,6,6,8,1,0,21.0,3277.9,1.67,0,48.0,10.57
R06,BUS008,3,5,14,1,0,31.0,1610.7,1.03,0,28.7,4.35
R02,BUS011,11,3,10,0,1,22.0,1611.1,4.39,1,57.8,5.84
R01,BUS013,4,5,11,1,0,32.0,385.4,1.49,0,27.6,2.18
R02,BUS001,6,5,20,1,0,32.3,1904.2,2.27,1,55.4,5.05
R01,BUS004,12,3,14,0,0,15.2,1967.3,0.44,1,25.0,9.29
R05,BUS004,10,0,14,0,0,18.3,1095.9,0.63,1,39.6,3.3
R05,BUS010,7,0,16,0,0,20.1,3033.9,2.77,0,42.1,9.61
R05,BUS014,4,6,20,1,0,32.9,587.9,2.23,0,30.8,2.22
R02,BUS015,12,2,8,0,1,11.3,590.8,4.18,0,52.8,4.27
R06,BUS015,12,2,13,0,0,28.7,1572.1,0.0,0,22.0,3.61
R02,BUS002,3,4,5,0,0,16.9,2283.7,1.57,0,30.0,8.26
R02,BUS017,7,4,9,0,1,18.4,2723.8,5.57,2,73.1,13.91
R03,BUS003,5,2,20,0,1,15.1,232.9,6.41,1,70.4,4.44
R03,BUS012,3,5,13,1,0,34.7,1954.2,1.54,0,30.1,3.99
R06,BUS008,2,2,20,0,1,13.9,886.3,4.53,0,75.0,5.92
R04,BUS017,2,1,17,0,1,6.5,2852.6,5.5,0,46.2,27.65
R03,BUS023,4,2,15,0,0,25.3,2367.2,0.59,0,39.0,6.76
R01,BUS004,8,0,9,0,1,19.4,1919.5,4.1,1,53.0,9.23
R04,BUS009,12,5,21,1,0,21.7,1052.2,3.09,1,37.1,5.59
R06,BUS010,12,1,17,0,1,19.5,2552.2,3.59,0,80.5,9.46
R06,BUS012,10,3,15,0,0,23.1,820.1,1.12,0,42.7,3.2
R01,BUS006,9,6,7,1,0,20.9,3298.9,2.38,0,44.0,9.85
R05,BUS004,7,5,14,1,0,30.8,2384.5,2.0,1,20.8,7.06
R04,BUS008,1,4,10,0,1,17.9,1570.3,5.28,1,44.6,7.93
R05,BUS007,8,4,10,0,1,17.0,511.3,5.47,0,74.0,4.62
R03,BUS013,11,2,19,0,1,14.7,1203.3,4.95,1,60.6,8.3
R06,BUS016,5,2,10,0,1,15.0,256.6,5.39,0,65.5,2.52
R02,BUS003,3,4,14,0,0,23.0,1489.0,1.02,0,22.4,4.54
R01,BUS020,3,6,15,1,0,29.8,3266.2,0.0,0,51.8,6.91
R04,BUS006,9,5,15,1,0,25.8,3332.4,2.35,1,27.2,9.53
R03,BUS009,6,1,5,0,0,16.0,2298.6,1.8,0,64.8,9.02
R05,BUS014,2,3,22,0,0,29.8,2771.0,2.18,1,20.3,9.04
R06,BUS013,2,4,21,0,0,22.8,1114.1,2.11,0,28.0,3.69
R05,BUS008,10,5,21,1,0,22.3,2202.6,2.0,1,32.5,7.6
R05,BUS023,8,6,13,1,0,29.4,3490.9,1.56,0,27.3,7.63
R04,BUS017,1,1,18,0,1,13.3,1472.5,3.76,0,39.5,7.87
R03,BUS014,8,4,14,0,0,28.8,1046.3,0.59,0,43.9,2.08
R02,BUS006,8,6,6,1,0,32.3,2936.7,2.7,0,57.7,6.47
R06,BUS024,3,3,20,0,1,13.4,775.0,5.83,2,88.2,7.35
R05,BUS024,2,0,17,0,1,14.9,1345.3,5.02,0,67.6,6.8
R01,BUS008,4,1,22,0,0,25.7,1753.9,3.07,0,23.0,5.52
R02,BUS016,7,6,8,1,0,32.6,1573.3,1.53,1,35.6,5.06
R05,BUS014,6,3,11,0,0,17.6,3276.7,2.27,0,31.7,12.22
R03,BUS003,6,1,20,0,1,9.6,1142.8,5.18,0,57.0,9.93
R03,BUS012,1,2,9,0,1,9.6,777.9,5.55,0,59.6,7.41
